Date;Hour;Stock;Shares;Transaction;Value;money;kind;Sum
07/11/14;20:30:00;AIA (1299);200;Sold;42,9;HKD;income;8580
05/11/14;16:24:00;Starbucks (SBUX);36;Acquired;76,71;USD;cost;2761,56
04/11/14;09:30:00;Bank of America (BAC);73;Sold;17,25;USD;income;1259,25
04/11/14;09:30:00;Southern Company (SO);22;Sold;46,73;USD;income;1028,06
04/11/14;03:00:00;Peugeot (UG);36;Sold;9,39;EUR;income;338,15
04/11/14;03:00:00;Veolia Environnement (VIE);30;Sold;13,32;EUR;income;399,6
28/10/14;20:18:00;United Technologies (UTX);25;Sold;106,44;USD;income;2661
27/10/14;15:00:00;United Technologies (UTX);25;Acquired;103,66;USD;cost;2591,5
07/10/14;15:30:00;Costco (COST);21;Sold;125,1;USD;income;2627,1
06/10/14;16:00:00;Costco (COST);21;Acquired;126,96;USD;cost;2666,06
26/09/14;15:30:00;Accenture (ACN);33;Sold;79,3;USD;income;2616,9
25/09/14;16:00:00;Accenture (ACN);33;Acquired;79,13;USD;cost;2611,29
10/09/14;15:30:00;American Electric Power (AEP);49;Sold;53,06;USD;income;2599,94
09/09/14;16:00:00;American Electric Power (AEP);49;Acquired;52,87;USD;cost;2590,63
22/08/14;15:30:00;ConocoPhillips (COP);33;Sold;80,26;USD;income;2648,58
21/08/14;16:00:00;ConocoPhillips (COP);33;Acquired;80,5;USD;cost;2656,5
11/08/14;15:30:00;Bank of America (BAC);174;Sold;15,2;USD;income;2644,8
08/08/14;16:00:00;Bank of America (BAC);174;Acquired;15,05;USD;cost;2618,7
22/07/14;15:30:00;Walt Disney (DIS);30;Sold;86,28;USD;income;2588,4
21/07/14;16:02:00;Walt Disney (DIS);30;Acquired;85,81;USD;cost;2574,3
08/07/14;15:30:00;Bristol-Myers Squibb (BMY);55;Sold;47,78;USD;income;2627,96
07/07/14;15:23:00;Bristol-Myers Squibb (BMY);55;Acquired;48,44;USD;cost;2664,2
27/06/14;16:00:00;Pfizer (PFE);89;Sold;29,62;USD;income;2636,27
26/06/14;16:00:00;Pfizer (PFE);89;Acquired;29,65;USD;cost;2638,85
13/06/14;16:00:00;Medtronic (MDT);43;Sold;60,6;USD;income;2605,8
12/06/14;16:00:00;Medtronic (MDT);43;Acquired;60,95;USD;cost;2620,85
02/06/14;15:30:00;Freeport-McMoRan (FCX);77;Sold;34,05;USD;income;2621,85
30/05/14;16:00:00;Freeport-McMoRan (FCX);77;Acquired;33,82;USD;cost;2604,14
23/05/14;20:10:00;Bank of America (BAC);73;Acquired;14,71;USD;cost;1073,83
21/05/14;15:30:00;Verizon (VZ);16;Sold;49,22;USD;income;787,52
20/05/14;16:00:00;Verizon (VZ);16;Acquired;49,11;USD;cost;785,76
20/05/14;15:30:00;Home Depot (HD);10;Sold;77,82;USD;income;778,2
19/05/14;16:00:00;Home Depot (HD);10;Acquired;76,61;USD;cost;766,05
16/05/14;15:30:00;Devon Energy (DVN);15;Sold;70,39;USD;income;1055,85
15/05/14;16:00:00;Devon Energy (DVN);15;Acquired;71;USD;cost;1065
15/05/14;15:30:00;Bank of America (BAC);72;Sold;14,53;USD;income;1045,8
14/05/14;16:00:00;Bank of America (BAC);72;Acquired;15;USD;cost;1079,64
12/05/14;15:30:00;Baxter International (BAX);21;Sold;75,38;USD;income;1582,98
09/05/14;16:00:00;Baxter International (BAX);21;Acquired;74,3;USD;cost;1560,3
07/05/14;15:30:00;Schlumberger (SLB);3;Sold;101,68;USD;income;305,04
06/05/14;16:00:00;Schlumberger (SLB);3;Acquired;100,77;USD;cost;302,31
06/05/14;15:30:00;Lowe's (LOW);6;Sold;45,37;USD;income;272,22
05/05/14;16:00:00;Lowe's (LOW);6;Acquired;46,3;USD;cost;277,8
02/05/14;15:30:00;Apache (APA);18;Sold;87,02;USD;income;1566,36
01/05/14;16:00:00;Apache (APA);18;Acquired;86,64;USD;cost;1559,52
01/05/14;15:30:00;eBay (EBAY);30;Sold;51,8;USD;income;1554
30/04/14;16:00:00;eBay (EBAY);30;Acquired;51,31;USD;cost;1539,3
28/04/14;15:30:00;Medtronic (MDT);8;Sold;58,79;USD;income;470,32
25/04/14;16:00:00;Medtronic (MDT);8;Acquired;58,07;USD;cost;464,56
23/04/14;15:30:00;EMC (EMC);53;Sold;25,93;USD;income;1374,29
22/04/14;19:54:00;EMC (EMC);53;Acquired;26,93;USD;cost;1427,29
22/04/14;15:30:00;Wal-Mart (WMT);18;Sold;77,59;USD;income;1396,62
21/04/14;16:00:00;Wal-Mart (WMT);18;Acquired;77,31;USD;cost;1391,58
17/04/14;15:30:00;Unitedhealth (UNH);12;Sold;76,6;USD;income;919,2
16/04/14;16:00:00;Unitedhealth (UNH);12;Acquired;78,65;USD;cost;943,8
16/04/14;15:30:00;Abbott (ABT);50;Sold;38,16;USD;income;1908
15/04/14;16:01:00;Abbott (ABT);50;Acquired;37,74;USD;cost;1887
15/04/14;15:30:00;Southern Company (SO);42;Sold;45,16;USD;income;1896,72
14/04/14;16:07:00;Southern Company (SO);42;Acquired;44,57;USD;cost;1871,94
09/04/14;15:30:00;Coca-Cola (KO);23;Sold;38,09;USD;income;876,07
09/04/14;15:30:00;News Corp (NWSA);52;Sold;17,18;USD;income;893,36
08/04/14;16:03:00;Coca-Cola (KO);23;Acquired;38,62;USD;cost;888,26
08/04/14;16:00:00;News Corp (NWSA);52;Acquired;17,05;USD;cost;886,6
08/04/14;15:30:00;QUALCOMM (QCOM);11;Sold;78,84;USD;income;867,24
08/04/14;15:30:00;Starbucks (SBUX);12;Sold;71,52;USD;income;858,24
07/04/14;16:02:00;QUALCOMM (QCOM);11;Acquired;78,53;USD;cost;863,83
07/04/14;16:00:00;Starbucks (SBUX);12;Acquired;70,59;USD;cost;847,08
03/04/14;15:30:00;News Corp (NWSA);58;Sold;17,14;USD;income;994,12
03/04/14;15:30:00;Mastercard (MA);13;Sold;74,6;USD;income;969,74
02/04/14;17:57:00;Mastercard (MA);13;Acquired;74,81;USD;cost;972,53
02/04/14;16:00:00;News Corp (NWSA);58;Acquired;17,37;USD;cost;1007,46
02/04/14;15:30:00;Comcast (CMCSA);11;Sold;50,92;USD;income;560,12
01/04/14;16:00:00;Comcast (CMCSA);11;Acquired;50,04;USD;cost;550,44
28/03/14;20:26:00;Accenture (ACN);22;Sold;78,84;USD;income;1734,48
27/03/14;20:26:00;Williams Companies (WMB);23;Sold;40,7;USD;income;936,1
27/03/14;15:00:00;Accenture (ACN);22;Acquired;76,64;USD;cost;1686,08
26/03/14;15:00:00;Williams Companies (WMB);23;Acquired;40,78;USD;cost;937,94
21/03/14;20:26:00;Home Depot (HD);11;Sold;80,55;USD;income;886,05
21/03/14;20:26:00;News Corp (NWSA);52;Sold;17,61;USD;income;915,72
20/03/14;20:26:00;Bank of America (BAC);107;Sold;17,89;USD;income;1914,23
20/03/14;15:00:00;News Corp (NWSA);52;Acquired;17,34;USD;cost;901,68
20/03/14;15:00:00;Home Depot (HD);11;Acquired;79,58;USD;cost;875,38
19/03/14;15:02:00;Bank of America (BAC);107;Acquired;17,19;USD;cost;1839,33
18/03/14;20:26:00;Altria (MO);49;Sold;36,61;USD;income;1793,89
17/03/14;16:04:00;Altria (MO);49;Acquired;36,34;USD;cost;1780,66
11/03/14;20:26:00;(V);8;Sold;227;;income;1816
11/03/14;20:26:00;News Corp (NWSA);101;Sold;17,69;USD;income;1786,69
11/03/14;08:26:00;AIA (1299);200;Sold;36,55;HKD;income;7310
10/03/14;15:10:00;News Corp (NWSA);101;Acquired;17,91;USD;cost;1808,91
10/03/14;15:00:00;(V);8;Acquired;225,44;;cost;1803,52
10/03/14;03:30:00;AIA (1299);200;Acquired;37;HKD;cost;7400
06/03/14;08:27:00;Bank Of Communications (3328);2000;Sold;4,88;HKD;income;9760
05/03/14;03:30:00;Bank Of Communications (3328);2000;Acquired;4,88;HKD;cost;9760
04/03/14;15:30:00;MetLife (MET);34;Sold;51,17;USD;income;1739,78
04/03/14;15:30:00;Williams Companies (WMB);42;Sold;42,6;USD;income;1789,2
03/03/14;15:28:00;MetLife (MET);34;Acquired;49,92;USD;cost;1697,28
03/03/14;15:27:00;Williams Companies (WMB);42;Acquired;41,03;USD;cost;1723,26
25/02/14;15:30:00;Capital One (COF);24;Sold;70,91;USD;income;1701,84
25/02/14;15:28:00;Merck (MRK);31;Sold;55,83;USD;income;1730,73
24/02/14;15:28:00;Merck (MRK);31;Acquired;55,97;USD;cost;1735,07
24/02/14;15:27:00;Capital One (COF);24;Acquired;70,97;USD;cost;1703,28
19/02/14;15:30:00;Dow Chemical (DOW);37;Sold;46,52;USD;income;1721,24
19/02/14;15:30:00;Exelon (EXC);59;Sold;29,98;USD;income;1768,82
18/02/14;15:31:00;Exelon (EXC);59;Acquired;29,74;USD;cost;1754,66
18/02/14;15:28:00;Dow Chemical (DOW);37;Acquired;46,01;USD;cost;1702,37
18/02/14;08:27:00;Belle (1880);1000;Sold;8,38;HKD;income;8380
17/02/14;03:30:00;Belle (1880);1000;Acquired;8,35;HKD;cost;8350
11/02/14;15:30:00;Unitedhealth (UNH);36;Sold;70,78;USD;income;2548,08
10/02/14;15:30:00;Unitedhealth (UNH);13;Sold;69,73;USD;income;906,43
10/02/14;15:29:00;Unitedhealth (UNH);36;Acquired;70,87;USD;cost;2551,32
07/02/14;15:30:00;Unitedhealth (UNH);13;Acquired;70,23;USD;cost;912,99
05/02/14;08:28:00;Industrial And Commercial Bank Of China (1398);2000;Sold;4,63;HKD;income;9260
04/02/14;15:30:00;Chevron (CVX);15;Sold;110,56;USD;income;1658,4
04/02/14;02:18:00;Industrial And Commercial Bank Of China (1398);2000;Acquired;4,67;HKD;cost;9340
